2130555	2297542	2472531	2637852	2796039	2947699	3094095	3234168	3369137	3500120	3625312	3745611	3860535	3970188	4076362	4178562	4276518	4371148	4462231	4549040	4631401	4708801
1736869	1903855	2078847	2244169	2402359	2554019	2700419	2840493	2975464	3106447	3231643	3351944	3466869	3576523	3682699	3784904	3882861	3977491	4068577	4232619	4393052	4548835
833236	1000223	1175216	1340538	1498728	1650387	1796787	1936861	2071832	2264983	2454228	2641544	2825488	3005798	3184187	3359989	3532704	3703807	3871567	4069544	4266656	4461546
399998	566985	741978	907300	1065490	1232434	1432025	1628322	1822794	2015945	2205191	2392507	2590007	2793926	2997672	3200969	3402947	3604803	3805047	4013231	4222051	4430015
204517	371504	546497	711819	915220	1116829	1316421	1512719	1707191	1915783	2122144	2328919	2534853	2738772	2948367	3158277	3367883	3578165	3787584	3998145	4209788	4421073
115452	282439	457432	662657	866058	1067667	1267259	1475229	1683292	1891884	2098245	2308759	2519330	2728434	2938029	3149222	3360320	3572413	3783756	3994738	4206944	4418903
72470	239457	435175	640400	843801	1048027	1257802	1465772	1673835	1884904	2094371	2304885	2515920	2725942	2936620	3147874	3359214	3571587	3783282	3994343	4206636	4418707
46281	216075	423842	629067	833888	1043811	1253586	1462183	1672192	1883261	2092944	2304056	2515397	2725508	2936328	3147709	3359070	3571475	3783219	3994290	4206603	4418694
28642	208768	416535	621760	831791	1041714	1252087	1461514	1671523	1882881	2092745	2303896	2515323	2725459	2936290	3147684	3359050	3571460	3783212	3994283	4206597	4418693
20282	204891	412658	620612	830643	1040867	1251786	1461228	1671439	1882797	2092700	2303878	2515310	2725457	2936288	3147684	3359050	3571460	3783212	3994283	4206597	4418693
13155	201906	409673	619834	829865	1040676	1251595	1461195	1671406	1882785	2092693	2303873	2515307	2725455	2936288	3147684	3359050	3571460	3783212	3994283	4206597	4418693
