search_blocks	seach_nanos	veri=true_nanos	veri=false_nanos	sol=true_count	sol=false_count	(veri_time)	(veri=true_nano_ratio)	(total_nanos)	(search_nanos_ratio)	(sol=true_count_ratio)
1	59635215	160844	2115052	25	1606	2275896	0.070672825	59796060	0.9973101	0.01532802
2	85807149	469132	737180	120	356	1206312	0.38889772	86276283	0.9945625	0.25210086
3	118950204	930964	1234718	249	626	2165682	0.42987105	119881171	0.9922343	0.28457144
4	148696776	1313579	1462979	370	757	2776558	0.4730962	150010359	0.99124336	0.32830524
5	174029972	1737237	1530298	487	817	3267535	0.5316659	175767214	0.9901162	0.37346625
6	201723405	2079209	1684662	629	912	3763871	0.5524124	203802620	0.9897979	0.4081765
7	224309640	2649428	1708475	805	968	4357903	0.6079594	226959075	0.9883264	0.45403272
8	248210033	2713887	1396472	827	748	4110359	0.6602555	250923928	0.9891844	0.52507937
9	628827958	2780794	912466	827	491	3693260	0.7529375	631608761	0.9955973	0.62746584
