search_blocks	seach_nanos	veri=true_nanos	veri=false_nanos	sol=true_count	sol=false_count	(veri_time)	(veri=true_nano_ratio)	(total_nanos)	(search_nanos_ratio)	(sol=true_count_ratio)
1	1220123358	68042549	200876845	2349	12643	268919394	0.2530221	1288165908	0.9471788	0.15668356
2	2543449084	366088022	566691398	13043	35799	932779420	0.39247012	2909537108	0.87417656	0.26704475
3	4248065998	721949559	985712496	25881	62836	1707662055	0.42277074	4970015560	0.85473895	0.29172537
4	5939525353	1104808821	1283099801	39606	81148	2387908622	0.46266797	7044334178	0.8431635	0.32798913
5	7443205068	1425938825	1476504181	51028	93803	2902443006	0.49128917	8869143898	0.8392248	0.35232788
6	8848920172	1801835745	1618164559	64397	102199	3420000304	0.52685255	10650755923	0.83082557	0.3865459
7	9931324684	2274983047	1603173088	81252	102257	3878156135	0.58661467	12206307738	0.81362236	0.44276848
8	10305299541	2329904416	1234072756	82796	78112	3563977172	0.6537372	12635203965	0.8156022	0.5145549
9	16893282197	2349019435	822778525	82873	52254	3171797960	0.7405955	19242301641	0.8779242	0.6132971
