search_blocks	seach_nanos	veri=true_nanos	veri=false_nanos	sol=true_count	sol=false_count	(veri_time)	(veri=true_nano_ratio)	(total_nanos)	(search_nanos_ratio)	(sol=true_count_ratio)
1	129243004	692809	779840	97	202	1472649	0.47045088	129935814	0.99466807	0.32441473
2	207713290	3267644	5085035	521	1393	8352679	0.3912091	210980936	0.9845122	0.27220482
3	300215651	6143002	7663199	1026	2386	13806201	0.44494513	306358656	0.97994834	0.3007034
4	391417395	9154706	9934704	1554	3044	19089410	0.47956988	400572105	0.97714597	0.33797303
5	463582457	11538329	10949171	1977	3476	22487500	0.5130997	475120791	0.9757149	0.36255273
6	539031512	14658442	12084327	2517	3826	26742769	0.54812735	553689960	0.9735258	0.3968154
7	598696704	18299954	11886443	3201	3841	30186397	0.6062318	616996665	0.97034025	0.45455837
8	656565750	18745394	8777001	3259	2793	27522395	0.681096	675311152	0.9722418	0.53849965
9	1582251016	18946560	6030084	3266	1918	24976644	0.7585711	1601197585	0.9881673	0.63001543
