search_blocks	seach_nanos	veri=true_nanos	veri=false_nanos	sol=true_count	sol=false_count	(veri_time)	(veri=true_nano_ratio)	(total_nanos)	(search_nanos_ratio)	(sol=true_count_ratio)
1	62014656240	8783672739	52782268926	54443	518663	61565941665	0.14267097	70798328980	0.87593395	0.094996385
2	124022840081	51694212975	77936461741	321354	860303	129630674716	0.3987807	175717053058	0.7058099	0.271952
3	223775613271	101151899912	136472371383	631195	1508682	237624271295	0.42567998	324927513186	0.68869394	0.2949679
4	309736789070	154726630239	175668110046	963414	1943327	330394740285	0.46830842	464463419313	0.6668702	0.33144128
5	376478800012	200454972176	200364028232	1248345	2226266	400819000408	0.5001135	576933772193	0.6525511	0.35927618
6	441194188842	252966587705	220803669936	1578372	2449115	473770257641	0.5339436	694160776553	0.6355792	0.39189997
7	490593851559	319284453806	220907924191	1989869	2456417	540192377997	0.59105694	809878305372	0.6057624	0.4475351
8	452738539026	325944908788	168307579907	2026270	1864311	494252488695	0.65947044	778683447822	0.5814154	0.52081424
9	465342725970	326241464265	112427993609	2028976	1242587	438669457874	0.7437068	791584190244	0.5878626	0.6201855
