search_blocks	seach_nanos	veri=true_nanos	veri=false_nanos	sol=true_count	sol=false_count	(veri_time)	(veri=true_nano_ratio)	(total_nanos)	(search_nanos_ratio)	(sol=true_count_ratio)
1	4832162460	479207395	1892605505	8324	59392	2371812900	0.20204267	5311369856	0.90977705	0.122925155
2	11337823146	3063653749	4639369190	51960	141629	7703022939	0.39772093	14401476897	0.7872681	0.26840368
3	19880095959	5955205155	8005995414	101540	243952	13961200569	0.42655393	25835301117	0.76949346	0.29389971
4	27930928091	9063008787	10312948398	154088	315570	19375957185	0.4677451	36993936882	0.75501364	0.32808554
5	34616583201	11764222515	11772035630	199709	360892	23536258145	0.49983403	46380805721	0.7463558	0.3562409
6	40794878306	14940814293	12927248631	253221	394789	27868062924	0.53612673	55735692605	0.73193455	0.39076713
7	45413178202	18806257916	12828865542	318565	391592	31635123458	0.59447396	64219436125	0.7071563	0.4485839
8	44557712893	19154867569	9626729007	324236	295057	28781596576	0.66552484	63712580470	0.69935507	0.5235583
9	58662871483	19166362462	6443317454	324707	197694	25609679916	0.748403	77829233954	0.7537382	0.6215666
